Report_Date,Multiple_Items,Category,Frequency,Cumulative_Frequency,Percentage,Limit_80_Percent,True_Priority
المشعر,Mina,category,Freq.,cum freq.,%,limit 80%,
,,دورة مياه - مياه - تسرب مياه,785,785,0٫1581704614,0٫8,حريق
Row Labels,Count of الرقم,دورة مياه - اكسسوارات - نقص,763,1548,0٫3119081201,0٫8,التماس
خيام - مكيفات - عطل,976,ميكانيكا - مياه - تسرب مياه,501,2049,0٫4128551279,0٫8,غاز
خيام - مكيفات - تسرب مياه,904,دورة مياه - مياه - انقطاع التغذية  كلي,374,2423,0٫4882127745,0٫8,سلامة
خيام - مكيفات - انقطاع تغذية المياه,263,دورة مياه - صرف - طفح صرف صحي,314,2737,0٫5514809591,0٫8,قابل للاشتعال
خيام - كهرباء- انقطاع في التغذية جزئي,231,دورة مياه - عدم جاهزية,271,3008,0٫6060850292,0٫8,كهرباء
خيام - كهرباء - عطل انارة,123,دورة مياه - اكسسوارات - تلف,258,3266,0٫6580697159,0٫8,
خيام - أبواب - خلل,119,دورة مياه - مياه - كسر مواسير,236,3502,0٫7056215998,0٫8,
خيام - سلامة - كهرباء - التماس,90,دورة مياه - أبواب - خلل,211,3713,0٫7481362079,0٫8,
خيام - نظافة - مخلفات,87,مياه - انقطاع التغذية  كلي,180,3893,0٫784404594,0٫8,
خيام - كهرباء - عطل افياش,81,دورة مياه - كهرباء - انقطاع التغذية,104,3997,0٫8053596615,0٫8,
خيام - سواتر أو قواطع - تلف,71,دورة مياه - سلامة - أغطية مفقودة - فتحات غرف تفتيش أو بيارات,92,4089,0٫8238968366,0٫8,
خيام - سواتر أو قواطع - فقد,69,كهرباء - انقطاع التغذية كلي,88,4177,0٫8416280476,0٫8,
خيام - سواتر أ و قواطع - خلل تثبيت,57,صرف - طفح صرف صحي,79,4256,0٫8575458392,0٫8,
خيام - مرشات مكافحة الحريق - تسرب مياه,52,دورة مياه - نظافة - مخلفات,74,4330,0٫8724561757,0٫8,
خيام - قواطع - خلل تثبيت,32,دورة مياه - مياه - انخفاض ضغط المياه,70,4400,0٫8865605481,0٫8,
خيام - عدم جاهزية,31,دورة مياه - مياه - انقطاع التغذية جزئي,61,4461,0٫8988515011,0٫8,
خيام - سلامة - صندوق حريق - تعديات,26,دورة مياه - كهرباء - عطل انارة,52,4513,0٫9093290349,0٫8,
خيام - مكيفات - غطاء مفقود,18,ممرات واسوار - مياه - تسرب مياه,49,4562,0٫9192020955,0٫8,
خيام - قبة - تلف,16,كهرباء - عطل انارة,47,4609,0٫9286721741,0٫8,
خيام - سلامة - لوحة كهرباء مكشوفة,15,سلامة - تلف او  فقد - فتحات غرف تفتيش أو بيارات,44,4653,0٫9375377796,0٫8,
خيام - كهرباء - تمديدات عشوائية,13,دورة مياه - كهرباء- انقطاع في التغذية جزئي,37,4690,0٫9449929478,0٫8,
خيام - سلامة - مرشات مكافحة الحريق - انقطاع التغذية,13,كهرباء - انقطاع التغذية جزئي,33,4723,0٫9516421519,0٫8,
خيام - اسقف - تلف,8,دورة مياه - صرف - انسداد,28,4751,0٫9572839009,0٫8,
خيام - كهرباء - تعديات,7,ميكانيكا - مياه - كسر مواسير,26,4777,0٫9625226677,0٫8,
خيام - كهرباء - عطل مفاتيح,6,دورة مياه - ارضيات - تلف,26,4803,0٫9677614346,0٫8,
خيام - بيئة - مكافحة الحشرات,6,دورة مياه - سلامة - كهرباء - تمديدات مكشوفة,20,4823,0٫9717912553,0٫8,
خيام - سلامة - مكيفات - دخان,4,مقاول - سلامة - عدم التقيد بإجراءات السلامة,11,4834,0٫9740076567,0٫8,
خيام - سلامة - محبس رئيسي - تسرب مياه,3,دورة مياه - مياه - عطل محبس رئيسي,9,4843,0٫975821076,0٫8,
خيام - أرضيات - تلف,2,مياه - انقطاع التغذية جزئي,8,4851,0٫9774330042,0٫8,
خيام - الصوتيات - مفقودة / تلف,2,ممرات واسوار - مدني - انترلوك / هبوط أرضي / حفر,7,4858,0٫9788434415,0٫8,
خيام - مكيفات - كسر مواسير,2,دورة مياه - لوحة ارشادية - مفقودة / تلف,7,4865,0٫9802538787,0٫8,
خيام - مكيفات - لا يوجد اجهزة تحكم,2,سلامة - حفريات,6,4871,0٫9814628249,0٫8,
خيام - حاويات - غير موجودة,2,دورة مياه - سلامة - كهرباء - التماس,5,4876,0٫9824702801,0٫8,
خيام - مكيفات - عدم جاهزية,2,لوحات ارشادية - تلف,5,4881,0٫9834777352,0٫8,
خيام - سلامة - مياه - تسرب مياه,2,خيام - مياه - كسر مواسير,5,4886,0٫9844851904,0٫8,
خيام - محبس رئيسي - مدفون,1,ممرات واسوار - انترلوك - خلل,4,4890,0٫9852911545,0٫8,
Grand Total,3336,تسليم - تعديات,4,4894,0٫9860971187,0٫8,
,,ممرات واسوار - سلامة - أغطية مفقودة - فتحات غرف تفتيش أو بيارات,4,4898,0٫9869030828,0٫8,
,,دورة مياه - سلامة - عطل في نظام السلامة,4,4902,0٫9877090469,0٫8,
,,سلامة - صبات خرسانية - اعاقة الحركة,3,4905,0٫98831352,0٫8,
,,سلامه - جريلات - مفقودة / تلف,3,4908,0٫9889179931,0٫8,
,,سلامة -  كهرباء -كيبل مكشوف,3,4911,0٫9895224663,0٫8,
,,خيام - مياه - تسرب مياه,3,4914,0٫9901269394,0٫8,
,,دورة مياه - جيرلات - مفقودة / تلف,3,4917,0٫9907314125,0٫8,
,,مياه - انخفاض ضغط المياه,3,4920,0٫9913358856,0٫8,
,,كهرباء - تمديدات عشوائية,3,4923,0٫9919403587,0٫8,
,,دورة مياه - سلامة ,3,4926,0٫9925448318,0٫8,
,,دورة مياه - اسقف - تلف,3,4929,0٫9931493049,0٫8,
,,مياه - ارتفاع ضغط المياه,2,4931,0٫9935522869,0٫8,
,,اسوار - مدني - تلف / نقص / فقد,2,4933,0٫993955269,0٫8,
,,ممرات واسوار - سلامة - طفايات - نقص,2,4935,0٫9943582511,0٫8,
,,مشارب - جيرلات - مفقودة / تلف,2,4937,0٫9947612331,0٫8,
,,سلامة - كهرباء - التماس,2,4939,0٫9951642152,0٫8,
,,مشارب - ميكانيكا - تسرب مياه,2,4941,0٫9955671973,0٫8,
,,كهرباء - سلامة - عداد مكشوف,2,4943,0٫9959701793,0٫8,
,,دورة مياه - مياه - ارتفاع ضغط المياه,2,4945,0٫9963731614,0٫8,
,,دورة مياه - كهرباء - عطل افياش,2,4947,0٫9967761435,0٫8,
,,كهرباء - لوحة توزيع داخلية - خلل,1,4948,0٫9969776345,0٫8,
,,بيئة - تشوه بصري ,1,4949,0٫9971791255,0٫8,
,,شركات ومؤسسات الطوافة - سلامة - عدم التقيد بإجراءات السلامة,1,4950,0٫9973806166,0٫8,
,,دورة مياه - بيئة - روائح كريهة,1,4951,0٫9975821076,0٫8,
,,مياه - سلامة - تلوث مياه ,1,4952,0٫9977835986,0٫8,
,,سلامة - مجرى سيل - مكشوف,1,4953,0٫9979850897,0٫8,
,,سلامة - خطر - سلامة,1,4954,0٫9981865807,0٫8,
,,خيام - سلامة - لوحة كهرباء مكشوفة,1,4955,0٫9983880717,0٫8,
,,كهرباء - عدم اكمال الاعمال,1,4956,0٫9985895628,0٫8,
,,ممرات واسوار - صرف - طفح صرف صحي,1,4957,0٫9987910538,0٫8,
,,مياه - تسرب مياه تحت الطبقة الاسفلتية,1,4958,0٫9989925448,0٫8,
,,ممرات واسوار - كهرباء - لوحة توزيع داخلية - خلل,1,4959,0٫9991940359,0٫8,
,,ملغي,1,4960,0٫9993955269,0٫8,
,,مدني - عدم اكمال الاعمال,1,4961,0٫9995970179,0٫8,
,,لوحات ارشادية - فقد / تلف,1,4962,0٫999798509,0٫8,
,,مدني - سلامة - جدار آيل للسقوط,1,4963,1,0٫8,
